dataset,tid,metric,metric_error,metric_error_val,batch_size,lora_alpha,lora_dropout,lora_lr,lora_rank,lr,token_dim,num_epochs,weight_decay
Another-Dataset-on-used-Fiat-500,363615,rmse,1182.918218153998,1263.9516672341406,256,64,0.1,0.0001187015803159726,4,0.0007101198581712159,32.0,,
QSAR_fish_toxicity,363698,rmse,1.3510101117189084,1.4032379869184424,256,64,0.1,0.0001187015803159726,4,0.0007101198581712159,32.0,,
airfoil_self_noise,363612,rmse,5.522880235905643,5.897036071752742,256,64,0.1,0.0001187015803159726,4,0.0007101198581712159,32.0,,
anneal,363614,log_loss,0.16135064678022412,0.1484133669368088,128,32,0.1,0.00020692098656538343,4,0.03874140008103832,16.0,,
concrete_compressive_strength,363625,rmse,13.141023978568874,14.58776670196201,128,32,0.1,0.00020692098656538343,4,0.03874140008103832,16.0,,
healthcare_insurance_expenses,363675,rmse,5809.546042052768,6790.324896264951,256,32,0.1,0.0001,8,0.001,,200.0,1e-05
maternal_health_risk,363685,log_loss,0.6585478277131235,0.631098992960294,128,32,0.1,2.63664913603784e-05,4,0.04377856797154252,16.0,,
miami_housing,363686,rmse,164784.16681689027,184974.1996969064,256,32,0.1,0.0001,8,0.001,,200.0,1e-05
students_dropout_and_academic_success,363704,log_loss,0.5885984929311566,0.5713681434030287,256,32,0.1,0.0001,8,0.001,,200.0,1e-05
website_phishing,363707,log_loss,0.23144574471489573,0.2487134788324523,256,64,0.1,0.0006905424378423517,8,0.007636347301302402,32.0,,
wine_quality,363708,rmse,0.7521935701370239,0.8016828894615173,128,32,0.1,2.63664913603784e-05,4,0.04377856797154252,16.0,,
